site_id,year_max,year_min,year_max_bd,bd_max_when_abund_max_log10,bd_max,prev_when_abund_max,prev_overall_max,year_prev_max,abund_max,abund_min,area,jurisdiction,elevation,density
10008,2019,2012,2007,3.23785447978742,4.06509398935715,0.157894736842105,1,2007,9,1,94410,kings_canyon,3237,0.326203273792968
10011,2007,2012,2007,3.8062976818966,3.8062976818966,0.2,0.5,2012,22,10,10552,kings_canyon,3347,2.3851192318813
10037,2012,2006,2006,4.01143586583698,4.90681433317415,0.375,0.419354838709677,2019,15,2,10323,kings_canyon,3420,1.6441562968694
10055,2005,2006,2006,0,3.73913522702421,0,0.923076923076923,2018,59,2,29282,kings_canyon,3371,3.83978093718026
10069,2005,2016,2016,,6.97567681180739,,1,2016,12,7,115463,kings_canyon,3442,0.393291564991458
10081,2015,2016,2007,0,2.82801506422398,0,0.142857142857143,2007,2870,0,123149,kings_canyon,3483,91.0796297809214
10090,2005,2018,2015,0,6.22290151588703,0,1,2015,2279,19,716908,kings_canyon,3483,29.9755676778622
10091,2005,2016,2015,,5.90266016873434,,1,2015,93,8,86422,kings_canyon,3517,3.52310508252367
10095,2011,2016,2016,0,6.73933258284769,0,1,2016,69,29,11681,kings_canyon,3444,7.10990640129346
10100,2009,2018,2015,0,6.14306925635519,0,0.991935483870968,2015,1159,1,25974,kings_canyon,3298,80.0882534165802
10101,2011,2018,2015,0,5.00722638428298,0,0.971722365038561,2015,1684,1,5187,kings_canyon,3213,260.398673688841
10102,2009,2018,2015,0,6.17232790539805,0,0.96875,2015,2314,1,15183,kings_canyon,3213,209.141088153259
10196,2009,2016,2016,0,2.82621644961987,0,0.375,2016,703,156,65700,kings_canyon,3320,30.5441078793067
10197,2004,2016,2010,,2.16136800223497,,0.0833333333333333,2010,13,0,8647,kings_canyon,3152,1.55691688093838
10198,2009,2016,2016,0,2.6363643235351,0,0.2,2016,232,55,22163,kings_canyon,3298,17.3551557845032
10199,2011,2016,2016,0,3.01533702622167,0,0.125,2016,33,23,6608,kings_canyon,3298,4.52099188430435
10201,2009,2011,2010,0,5.26095448336048,0,0.555555555555556,2010,535,0,6215,kings_canyon,3286,75.5767165992198
10206,2005,2016,2007,3.0984809627984,6.120272897894,0.36,0.95,2007,343,0,29262,kings_canyon,3388,22.3304215537131
10210,2008,2009,2009,0,5.56569791400315,0,1,2007,15,3,16736,kings_canyon,3292,1.2912794221795
10213,2007,2009,2009,2.38201704257487,5.60103559372014,0.25,1,2009,11,4,5906,kings_canyon,3280,1.5940457016114
10216,2005,2011,2010,,3.68450285192756,,0.428571428571429,2009,37,0,37024,kings_canyon,3444,2.14148412920589
10217,2004,2012,2010,,6.47639117143482,,1,2010,63,0,47745,kings_canyon,3471,3.21093419580833
10218,2006,2009,2009,2.31113292249576,3.93426775932763,0.105263157894737,0.692307692307692,2009,86,38,160690,kings_canyon,3481,2.38923479344099
10219,2005,2010,2008,,5.23694264886097,,0.5,2009,70,0,42812,kings_canyon,3456,3.76764596260698
10220,2005,2019,2016,0,2.80825960037701,0,0.333333333333333,2009,23,1,12650,kings_canyon,3627,2.27738983551049
