site_id,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,jurisdiction,loss_years,failed_invasion_ranking
10008,-1,0,1,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,kings_canyon,,
10011,-1,0,0,1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10055,-1,0,1,-1,-1,-1,1,-1,1,-1,-1,-1,-1,1,1,-1,kings_canyon,,
10069,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,1,1,-1,-1,-1,kings_canyon,,
10081,-1,-1,-1,1,-1,0,-1,0,0,0,0,0,1,-1,-1,-1,kings_canyon,2007 -> 2009,2
10090,-1,0,1,1,-1,1,1,0,0,0,0,1,1,-1,1,-1,kings_canyon,2010 -> 2011,3
10091,-1,-1,-1,1,-1,0,-1,1,0,0,0,1,-1,-1,-1,-1,kings_canyon,2011 -> 2012,2
10095,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,1,-1,-1,-1,kings_canyon,,
10100,-1,0,-1,0,0,0,-1,1,1,1,0,1,1,1,1,-1,kings_canyon,2013 -> 2014,3
10101,-1,-1,-1,1,0,0,-1,0,1,0,0,1,1,1,1,-1,kings_canyon,"2007 -> 2008, 2012 -> 2013",3
10102,-1,0,-1,1,0,0,-1,1,1,0,0,1,1,1,1,-1,kings_canyon,"2007 -> 2008, 2012 -> 2013",3
10103,-1,-1,-1,-1,0,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,kings_canyon,,
10196,-1,-1,-1,1,-1,0,1,0,0,0,0,-1,1,-1,-1,-1,kings_canyon,"2007 -> 2009, 2010 -> 2011",3
10198,-1,-1,-1,0,-1,0,1,1,0,1,0,-1,1,-1,-1,-1,kings_canyon,"2011 -> 2012, 2013 -> 2014",3
10199,-1,-1,-1,-1,-1,0,0,0,0,0,0,-1,1,-1,-1,-1,kings_canyon,,
10201,-1,0,1,0,-1,0,1,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2006 -> 2007,3
10210,-1,-1,-1,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,2007 -> 2008,2
10212,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10213,-1,-1,0,1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10217,-1,-1,-1,0,1,1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10220,-1,0,1,-1,0,1,1,-1,0,1,0,0,1,0,0,0,kings_canyon,"2013 -> 2014, 2016 -> 2017",3
10222,-1,0,0,1,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10224,-1,-1,0,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10230,-1,0,0,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10244,-1,0,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,kings_canyon,,
10263,-1,0,0,1,-1,-1,0,-1,1,-1,1,-1,1,-1,-1,-1,kings_canyon,2007 -> 2010,2
10474,-1,0,0,0,1,-1,1,-1,1,-1,-1,0,0,0,0,0,kings_canyon,2012 -> 2015,2
10476,-1,0,-1,0,0,-1,1,-1,1,1,0,0,0,-1,0,0,kings_canyon,2013 -> 2014,2
10477,-1,0,-1,0,0,-1,0,0,1,1,1,0,1,0,0,0,kings_canyon,"2014 -> 2015, 2016 -> 2017",3
