CDEC,year,lake_id,SWEmm
AGP,2000,70117,722
AGP,2000,70287,722
AGP,2000,70305,722
AGP,2000,70337,722
AGP,2000,70369,722
AGP,2000,70422,722
AGP,2000,70425,722
AGP,2000,70509,722
AGP,2000,70526,722
AGP,2000,70575,722
AGP,2000,70616,722
AGP,2000,70701,722
AGP,2000,70735,722
AGP,2000,71249,722
AGP,2000,71288,722
AGP,2000,71317,722
AGP,2000,71413,722
AGP,2000,71438,722
AGP,2000,71445,722
AGP,2000,71495,722
AGP,2000,71587,722
AGP,2000,71625,722
AGP,2000,71632,722
AGP,2000,71693,722
AGP,2000,71748,722
AGP,2000,71785,722
AGP,2000,71808,722
AGP,2000,71834,722
AGP,2000,71913,722
AGP,2000,71964,722
AGP,2000,72016,722
AGP,2000,72042,722
AGP,2000,72063,722
AGP,2000,72110,722
AGP,2000,72117,722
AGP,2000,72294,722
AGP,2000,72319,722
AGP,2000,72332,722
AGP,2000,72420,722
AGP,2000,72430,722
AGP,2000,72497,722
AGP,2000,72514,722
AGP,2000,72564,722
AGP,2000,72633,722
AGP,2000,72635,722
AGP,2000,72706,722
AGP,2000,72760,722
AGP,2000,72780,722
AGP,2000,72815,722
AGP,2000,72877,722
AGP,2000,73092,722
AGP,2000,74282,722
AGP,2000,71187,722
AGP,2000,71257,722
AGP,2000,71558,722
AGP,2001,70117,329
AGP,2001,70287,329
AGP,2001,70305,329
AGP,2001,70337,329
AGP,2001,70369,329
AGP,2001,70422,329
AGP,2001,70425,329
AGP,2001,70509,329
AGP,2001,70526,329
AGP,2001,70575,329
AGP,2001,70616,329
AGP,2001,70701,329
AGP,2001,70735,329
AGP,2001,71249,329
AGP,2001,71288,329
AGP,2001,71317,329
AGP,2001,71413,329
AGP,2001,71438,329
AGP,2001,71445,329
AGP,2001,71495,329
AGP,2001,71587,329
AGP,2001,71625,329
AGP,2001,71632,329
AGP,2001,71693,329
AGP,2001,71748,329
AGP,2001,71785,329
AGP,2001,71808,329
AGP,2001,71834,329
