site_id,year,visit_date,species,capture_life_stage,capture_animal_state,swab_id,replicate,bd_load,datetime,adult,eggmass,subadult,tadpole
10008,2005,2005-08-19,ramu,adult,healthy,RKS2561,1,0,2005-08-19T00:00:00Z,5,0,1,298
10008,2005,2005-08-19,ramu,adult,healthy,RKS2563,1,0,2005-08-19T00:00:00Z,5,0,1,298
10008,2005,2005-08-19,ramu,subadult,healthy,RKS2562,1,0,2005-08-19T00:00:00Z,5,0,1,298
10008,2005,2005-08-19,ramu,adult,healthy,RKS2569,1,0,2005-08-19T00:00:00Z,5,0,1,298
10008,2006,2006-08-01,ramu,adult,healthy,RKS2839,1,192,2006-08-01T00:00:00Z,5,0,0,62
10008,2006,2006-08-01,ramu,adult,healthy,RKS2842,1,0,2006-08-01T00:00:00Z,5,0,0,62
10008,2007,2007-07-23,ramu,adult,healthy,RKS5596,1,11616,2007-07-23T00:00:00Z,5,0,0,7
10008,2012,2012-08-03,ramu,subadult,healthy,RKS14788,1,779520,2012-08-03T00:00:00Z,1,0,24,380
10008,2012,2012-08-03,ramu,subadult,healthy,RKS14786,1,9648,2012-08-03T00:00:00Z,1,0,24,380
10008,2012,2012-08-03,ramu,subadult,healthy,RKS14785,1,993504,2012-08-03T00:00:00Z,1,0,24,380
10008,2012,2012-08-03,ramu,subadult,healthy,RKS14784,1,787776,2012-08-03T00:00:00Z,1,0,24,380
10008,2012,2012-08-03,ramu,subadult,healthy,RKS14787,1,42672,2012-08-03T00:00:00Z,1,0,24,380
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29400,1,9478.728,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29399,1,858.48,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,adult,healthy,RKS29405,1,3615.304,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29412,1,204117.192,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29415,1,5198.344,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29410,1,464.208,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29413,1,0,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29401,1,5310.424,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29411,1,656.664,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29409,1,4529.544,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29414,1,347578.544,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29402,1,760.216,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,tadpole,healthy,RKS29408,1,185118.712,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,adult,healthy,RKS29398,1,1580.176,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29406,1,15875.712,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29404,1,58934.84,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29403,1,5982.384,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,adult,healthy,RKS29397,1,903.312,2019-09-12T00:00:00Z,9,0,51,262
10008,2019,2019-09-12,ramu,subadult,healthy,RKS29407,1,21430.936,2019-09-12T00:00:00Z,9,0,51,262
10011,2005,2005-08-19,ramu,adult,healthy,RKS2999,1,0,2005-08-19T00:00:00Z,13,0,0,109
10011,2005,2005-08-19,ramu,adult,healthy,RKS2997,1,0,2005-08-19T00:00:00Z,13,0,0,109
10011,2005,2005-08-19,ramu,adult,healthy,RKS3022,1,0,2005-08-19T00:00:00Z,13,0,0,109
10011,2005,2005-08-19,ramu,adult,healthy,RKS3019,1,0,2005-08-19T00:00:00Z,13,0,0,109
10011,2005,2005-08-19,ramu,adult,healthy,RKS2998,1,0,2005-08-19T00:00:00Z,13,0,0,109
10011,2006,2006-08-01,ramu,adult,healthy,RKS3615,1,0,2006-08-01T00:00:00Z,16,2,0,65
10011,2006,2006-08-01,ramu,adult,healthy,RKS2847,1,0,2006-08-01T00:00:00Z,16,2,0,65
10011,2006,2006-08-01,ramu,tadpole,healthy,RKS2852,1,0,2006-08-01T00:00:00Z,16,2,0,65
