abund,density,rho,model
1169.13017595313,1171.87005520925,0.25,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceFALSE_include_snow_depthTRUE
1107.73851650215,1110.56618504015,0.333,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceFALSE_include_snow_depthTRUE
1036.6834917902,1037.5824670133,0.5,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceFALSE_include_snow_depthTRUE
1175.73662356082,1180.24785527621,0.25,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceTRUE_include_snow_depthTRUE
1115.17659312387,1118.52570808591,0.333,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceTRUE_include_snow_depthTRUE
1040.45765398406,1040.00177330753,0.5,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceTRUE_include_snow_depthTRUE
1175.66627263303,1178.62449034825,0.25,rarifyFALSE_include_subadultsTRUE_non_linear_tempTRUE_log_tadpole_abundanceFALSE_include_snow_depthFALSE
1117.69593584758,1120.08179146778,0.333,rarifyFALSE_include_subadultsTRUE_non_linear_tempTRUE_log_tadpole_abundanceFALSE_include_snow_depthFALSE
1043.10211025689,1043.8936595382,0.5,rarifyFALSE_include_subadultsTRUE_non_linear_tempTRUE_log_tadpole_abundanceFALSE_include_snow_depthFALSE
1171.42927918498,1175.42532995423,0.25,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceFALSE_include_snow_depthFALSE
1113.4728253275,1116.64397220874,0.333,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceFALSE_include_snow_depthFALSE
1041.62183557436,1043.79468467055,0.5,rarifyFALSE_include_subadultsTRUE_non_linear_tempFALSE_log_tadpole_abundanceFALSE_include_snow_depthFALSE
